,rating,review,processed_review,corrected_review
51,5,"My 1st IOS device so far good😊Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!READ MORE",1st io devic far good😊midnight black best camera qualiti excel along multitask perform go,est io devil far black best camera quality excel along multitask perform go
52,5,Camera cinematic next level🔥🔥READ MORE,camera cinemat next level🔥🔥,camera cinema next level
53,5,"Best in class in all the aspects. Top notch performance for display, camera and everything.READ MORE",best class aspect top notch perform display camera everyth,best class aspect top notch perform display camera everyth
54,5,Love IPhone Dream IPhone..💜😍✌️🖤READ MORE,love iphon dream iphone💜😍✌️🖤,love siphon dream
55,5,"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast.READ MORE",nice product camera qualiti amaz everyth seem realphon fast,nice product camera quality amaze everyth seem fast
56,5,Best camera phoneREAD MORE,best camera phone,best camera phone
57,5,Really an overall great productREAD MORE,realli overal great product,really overall great product
58,5,Love itREAD MORE,love,love
59,4,4 out of 5 Phone was so handy and superbREAD MORE,4 5 phone handi superb,4 5 phone hands superb
60,5,Absolutely AwesomeREAD MORE,absolut awesom,absolute awesome
61,5,Quality + Performance + Integrity = Apple IncREAD MORE,qualiti perform integr appl inc,quality perform inter apply inc
62,5,Very good phoneREAD MORE,good phone,good phone
63,5,My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️READ MORE,first iphon experi even though 60hz refresh rate feel smooth optim perform top notch🔥if u r look iphon 13go phone 14 trust u love it❤️,first siphon expert even though refresh rate feel smooth optic perform top u i look siphon go phone 14 trust u love it
64,5,Superb qualityREAD MORE,superb qualiti,superb quality
65,5,Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.READ MORE,good one got around 67k first appl mobil took time get habitu appl eco system worth wait simpl easi,good one got around ask first apply mobil took time get habit apply eco system worth wait simple easy
66,5,Value for money product if you get the deal around 65 k .READ MORE,valu money product get deal around 65 k,value money product get deal around 65 i
67,5,Awesome cameraREAD MORE,awesom camera,awesome camera
68,5,NiceREAD MORE,nice,nice
69,5,Amazing deviceI switch to iPhone 14 from iPhone 8. Great camera and power management full day battery backup. Sound quality and display also awesome. Just go for it if you have enough moneyREAD MORE,amaz devicei switch iphon 14 iphon 8 great camera power manag full day batteri backup sound qualiti display also awesom go enough money,amaze device switch siphon 14 siphon 8 great camera power manage full day battery backup sound quality display also awesome go enough money
70,5,Superb camera and performance... Battery life is also good.... Great Display and awesome looks... 60hz refresh rate is better than android 90hz... Loved it ❤READ MORE,superb camera perform batteri life also good great display awesom look 60hz refresh rate better android 90hz love ❤,superb camera perform battery life also good great display awesome look refresh rate better android love i
71,5,Nice oneREAD MORE,nice one,nice one
72,5,This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for itREAD MORE,first io devic like iti gift younger brother love iphon inhand feel damn premium 🙌🏻 also camera qualiti top notch honest bought phone smooth processor camera qualiti go,first io devil like iti gift younger brother love siphon inland feel damn premium i also camera quality top notch honest bought phone smooth processor camera quality go
73,5,Best in the market. Camera quality awesome Battery easily goes for a daySpeakers are really good.READ MORE,best market camera qualiti awesom batteri easili goe dayspeak realli good,best market camera quality awesome battery easily got daybreak really good
74,5,I just love this phone  for the 1st time and the performance is awesome  just wow camera quality battery everything is awesome . I prefer anyone who can use this phone . Iphone using it for the 1st time never getting any problem . Just thank you Flipkart for providing me these at low cost as compared to retail shops . Thank you Flipkart and Apple . Just love it .READ MORE,love phone 1st time perform awesom wow camera qualiti batteri everyth awesom prefer anyon use phone iphon use 1st time never get problem thank flipkart provid low cost compar retail shop thank flipkart appl love,love phone est time perform awesome wow camera quality battery everyth awesome prefer anyon use phone siphon use est time never get problem thank flippant provide low cost compare retail shop thank flippant apply love
75,5,Amazing!pictures...📸 everything good 😍READ MORE,amazingpictures📸 everyth good 😍,everyth good i
76,5,Good nice trusted i checked everything i was conserned about weather I'll get fooled by delivery and all but it was new i checked everything as people used to say we get refurbished phone no it was good new freshREAD MORE,good nice trust check everyth consern weather ill get fool deliveri new check everyth peopl use say get refurbish phone good new fresh,good nice trust check everyth concern weather ill get fool deliver new check everyth peopl use say get refurbish phone good new fresh
77,5,Awesome deal Tq Flipkart.IPhone 14 was powerfully packed 5G .Battery is good.Cameras next level .finally iPhone 14 is superb.loved ItREAD MORE,awesom deal tq flipkartiphon 14 power pack 5g batteri goodcamera next level final iphon 14 superblov,awesome deal to 14 power pack og battery next level final siphon 14 superbly
78,5,THE product is genuinely awesome.. and can't stop my etes from looking into the product.. Awesome work by APPLE and good customer support from seller and Flipkart...THANKS FOR THE PRODUCT... GO FOR ITREAD MORE,product genuin awesom cant stop ete look product awesom work appl good custom support seller flipkartthank product go,product genuine awesome cant stop ete look product awesome work apply good custom support seller product go
79,5,I'm happy with the phone and the deal I got from the Flipkart.READ MORE,im happi phone deal got flipkart,im happy phone deal got flippant
80,5,Very niceREAD MORE,nice,nice
81,5,Best Phone in market.READ MORE,best phone market,best phone market
82,5,"No doubt, awesome product, go for itREAD MORE",doubt awesom product go,doubt awesome product go
83,5,Best qualityREAD MORE,best qualiti,best quality
84,5,Excellent camera😊READ MORE,excel camera😊,excel camera
85,5,Nice Cinematic Video and Portrait photographyREAD MORE,nice cinemat video portrait photographi,nice cinema video portrait photograph
86,1,Don't buy..... More heatingREAD MORE,dont buy heat,dont buy heat
87,5,Just wow😍😘READ MORE,wow😍😘,wow
88,5,"Excellent Smartphone, Amazing Picture quality, Good sound qualityREAD MORE",excel smartphon amaz pictur qualiti good sound qualiti,excel smartphone amaze pictur quality good sound quality
89,5,Amazing Product 😇💯READ MORE,amaz product 😇💯,amaze product i
90,5,SuperbREAD MORE,superb,superb
91,5,I think this is wow what a performance camera too good love itREAD MORE,think wow perform camera good love,think wow perform camera good love
92,5,It looks so pretty 🫣❤️READ MORE,look pretti 🫣❤️,look pretty
93,5,GoodREAD MORE,good,good
94,5,iPhone 14 starlight 🤍 beautiful design excellent camera great battery. I think it is better than previous year iPhone 13. Go for it 👌READ MORE,iphon 14 starlight 🤍 beauti design excel camera great batteri think better previou year iphon 13 go 👌,siphon 14 starlight i beauty design excel camera great battery think better previous year siphon 13 go i
95,5,"Genuine and nice,worthy upgrade considering technical enhancements over IPhone 13(may not be for 13 users),like better sensor and low light performance, extra 2gb ram,5 core Gpu(as in 13 pro) and  longer ios support.New ios 16 is stable.Flipkart service is good.READ MORE",genuin niceworthi upgrad consid technic enhanc iphon 13may 13 userslik better sensor low light perform extra 2gb ram5 core gpua 13 pro longer io supportnew io 16 stableflipkart servic good,genuine upgrade consider technics enhance siphon may 13 better sensor low light perform extra go ram core gpa 13 pro longer io supported io 16 service good
96,5,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥READ MORE",great phone great capabl 🔥excel camera 📸processor 13pro new blue colour awesom ❤️i 14pro 13pro 12 12mini also new one iphon 14 one thing common lag till date one thing alway said is🔥🔥,great phone great capable excel camera processor pro new blue colour awesome i pro pro 12 mini also new one siphon 14 one thing common lag till date one thing alway said is
97,5,"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.After receiving this, I have no regression.Love this.iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.The camera is good, sometimes it misses focus.Performance is the best part of it.READ MORE",want buy yellow colour deliv pin code went colouraft receiv regressionlov thisiphon heat lot built frame steel back glass great thing get hot restrict featur cool downth camera good sometim miss focusperform best part,want buy yellow colour deli pin code went receive heat lot built frame steel back glass great thing get hot restrict feature cool dowith camera good sometime miss best part
98,5,I using this mobile for 2 days before I using Samsung m30 so..... This iPhone was very handy Performance a15 bionic with 6 core processorWe can't find the difference day to day life soo...this is awesome next camera camera is top notch I don't how to tell in words this very good camera same as dslr and videos is soo good quality but action mode is take 2.8k resolution and in dimlight is was sooo bad so while you take with action use gimbal ..... And over all the phone very good 👍READ MORE,use mobil 2 day use samsung m30 iphon handi perform a15 bionic 6 core processorw cant find differ day day life soothi awesom next camera camera top notch dont tell word good camera dslr video soo good qualiti action mode take 28k resolut dimlight sooo bad take action use gimbal phone good 👍,use mobil 2 day use sassing my siphon hands perform a bionic 6 core processor cant find differ day day life soothe awesome next camera camera top notch dont tell word good camera door video soo good quality action mode take ask resolute daylight sooo bad take action use gimbal phone good i
99,5,Camera and battery Quality us best in this segmentREAD MORE,camera batteri qualiti us best segment,camera battery quality us best segment
100,5,SuperREAD MORE,super,super
101,5,"Very good purchase.i bought it for my wife as a Padwa gift.but just my views on purchasing this expensive phone- if you are using Iphone very lower version go for it but if you are already in iphone 13 or 11 do not spend money,its not worth.no much change.but if you have lots of money then go for it.wife was using iphone 7 hence i purchased this latest one.now no purchase atleast for 6 years. iphone 7 also used 5 years and believe me it has no issues at all, but the only problem was batte...READ MORE",good purchasei bought wife padwa giftbut view purchas expens phone use iphon lower version go alreadi iphon 13 11 spend moneyit worthno much changebut lot money go itwif use iphon 7 henc purchas latest onenow purchas atleast 6 year iphon 7 also use 5 year believ issu problem batt,good purchase bought wife papa view purchase expense phone use siphon lower version go already siphon 13 11 spend money worth much lot money go twin use siphon 7 hence purchase latest oneof purchase atleast 6 year siphon 7 also use 5 year believ issue problem butt
102,3,"The iPhone 14 is a solid choice for those looking for a high-quality smartphone experience. The camera is top-notch, the performance is smooth, and the design is sleek and modern. However, there are a few drawbacks to consider when comparing it to Android phones.One of the biggest cons of the iPhone 14 is its lack of customization options. Apple has a strict policy on what apps and features can be used on their devices, which can be frustrating for users who want more control over their pho...READ MORE",iphon 14 solid choic look highqual smartphon experi camera topnotch perform smooth design sleek modern howev drawback consid compar android phoneson biggest con iphon 14 lack custom option appl strict polici app featur use devic frustrat user want control pho,siphon 14 solid choice look smartphone expert camera topnotch perform smooth design sleek modern howe drawback consider compare android phones biggest con siphon 14 lack custom option apply strict police app feature use devil frustrate user want control pho
103,3,Superb performanceREAD MORE,superb perform,superb perform
104,5,Excellent camera 😍READ MORE,excel camera 😍,excel camera i
105,5,Looking 🔥..i lv thisREAD MORE,look 🔥i lv,look i la
106,5,OkREAD MORE,ok,ok
107,5,Best one. Have not used a better mobile than this yet. currently one of the best phone in the market.READ MORE,best one use better mobil yet current one best phone market,best one use better mobil yet current one best phone market
108,4,Thanks Flipkart service is fine nd it comes in a 2 days.product is genuine nd I love itREAD MORE,thank flipkart servic fine nd come 2 daysproduct genuin nd love,thank flippant service fine and come 2 genuine and love
109,5,It's a perfect mobile. Comfortable in hands... Size is good. Looks so classy. For me it's the bestREAD MORE,perfect mobil comfort hand size good look classi best,perfect mobil comfort hand size good look class best
110,5,Camera is good and speaker and display is awesome. Overall nice.READ MORE,camera good speaker display awesom overal nice,camera good speaker display awesome overall nice
111,5,Simply superb so farNo complaints as of nowPhone was delivered within one day after orderREAD MORE,simpli superb farno complaint nowphon deliv within one day order,simple superb faro complaint deli within one day order
112,5,AstoundingREAD MORE,astound,astound
113,5,"No two ways , it's a great product, I haven't used iPhone before, this feels real good phone , great battery life , iOS is really better in stability and speedREAD MORE",two way great product havent use iphon feel real good phone great batteri life io realli better stabil speed,two way great product havent use siphon feel real good phone great battery life io really better tail speed
114,5,Overall good productREAD MORE,overal good product,overall good product
115,5,"Better than iphone 13. Especially that 13 number is considered unlucky. Moreover, better camera, battery, quality. And finally, color purple is very nice Namaste🙏READ MORE",better iphon 13 especi 13 number consid unlucki moreov better camera batteri qualiti final color purpl nice namaste🙏,better siphon 13 expect 13 number consider unlucky more better camera battery quality final color purple nice namaste
116,5,Superb camera qualityREAD MORE,superb camera qualiti,superb camera quality
117,4,Best productREAD MORE,best product,best product
118,5,"I am very happy with the purchase , i was confused between blue and yellow but yellow is very bright and refreshing color and look different  blue is also nice but after putting back cover we can not differentiate if its is iphone 13 or 14 better go for yellow iphone its very bright and attractive lot of people asked me if i bough new iphone or something thankyou flipkart now comes to the performance battery is good display is very smooth looks very premiums n feels very premium. Go for itREAD MORE",happi purchas confus blue yellow yellow bright refresh color look differ blue also nice put back cover differenti iphon 13 14 better go yellow iphon bright attract lot peopl ask bough new iphon someth thankyou flipkart come perform batteri good display smooth look premium n feel premium go,happy purchase confuse blue yellow yellow bright refresh color look differ blue also nice put back cover different siphon 13 14 better go yellow siphon bright attract lot peopl ask bough new siphon someth thankyou flippant come perform battery good display smooth look premium i feel premium go
119,5,Vary goodREAD MORE,vari good,vary good
120,5,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.READ MORE",excel smart phone good batteri backup perform good good camera qualiti,excel smart phone good battery backup perform good good camera quality
121,5,No wordsREAD MORE,word,word
122,1,Worst phoneREAD MORE,worst phone,worst phone
123,4,Good mobileREAD MORE,good mobil,good mobil
124,5,Best cameraREAD MORE,best camera,best camera
125,5,Good priceREAD MORE,good price,good price
126,5,NiceREAD MORE,nice,nice
127,1,Battery performance too lowREAD MORE,batteri perform low,battery perform low
128,3,Handy. Premium fellingREAD MORE,handi premium fell,hands premium fell
129,5,Best phone but same as Iphone 13. There is no difference in 13 and 14.READ MORE,best phone iphon 13 differ 13 14,best phone siphon 13 differ 13 14
130,1,Bad refresh rate at this price point. It looks way too slow after using Android phone above 90 hz displayREAD MORE,bad refresh rate price point look way slow use android phone 90 hz display,bad refresh rate price point look way slow use android phone 90 he display
131,4,"super smooth, mic quality seems to be disappointingotherwise quality wise product is goodREAD MORE",super smooth mic qualiti seem disappointingotherwis qualiti wise product good,super smooth mic quality seem quality wise product good
132,5,Totally worth selling your kidney and buying this amazing phone. Camera makes this phone A+READ MORE,total worth sell kidney buy amaz phone camera make phone,total worth sell kidney buy amaze phone camera make phone
133,5,"✓Comfortable, high-end build✓OLED screen looks fantastic✓A15 chip performs great✓Good camera upgrades✓Dependable battery lifeREAD MORE",✓comfort highend build✓ol screen look fantastic✓a15 chip perform great✓good camera upgrades✓depend batteri life,comfort higher screen look chip perform camera battery life
134,5,Nice phone but battery drane more while using camera and battery is less useableREAD MORE,nice phone batteri drane use camera batteri less useabl,nice phone battery drank use camera battery less useable
135,1,Battery very low time not supporting FlipkartREAD MORE,batteri low time support flipkart,battery low time support flippant
136,5,Best mobile ever nd Yellow colour one of my favoriteREAD MORE,best mobil ever nd yellow colour one favorit,best mobil ever and yellow colour one favorite
137,5,Nice performanceREAD MORE,nice perform,nice perform
138,5,I was a little sceptical about the red color but it looks premium. Amazing feel and touch. Love it..READ MORE,littl sceptic red color look premium amaz feel touch love,little sceptic red color look premium amaze feel touch love
139,5,Great phoneREAD MORE,great phone,great phone
140,5,Amazing product 👍READ MORE,amaz product 👍,amaze product i
141,5,GoodREAD MORE,good,good
142,5,"First ever experiencing Iphone. Being an android user and switching over to Iphone and using it for a day makes me a step away from android. 1.Top Class Performance2. High defined Camera and Cinematic Video 3. Pocket friendly comparing pro and plus models4. Have a concern on Battery , though drains on a single day usage - It doesnt means a negative feedback since its 20W Charger charged from 3 to 60 at a time of 10 minutes. I was too surprised- The best class in Apple Series.Last but n...READ MORE",first ever experienc iphon android user switch iphon use day make step away android 1top class performance2 high defin camera cinemat video 3 pocket friendli compar pro plu models4 concern batteri though drain singl day usag doesnt mean neg feedback sinc 20w charger charg 3 60 time 10 minut surpris best class appl serieslast n,first ever experience siphon android user switch siphon use day make step away android stop class performance high define camera cinema video 3 pocket friendly compare pro plus models concern battery though drain single day usage doesn't mean neg feedback since how charger charge 3 60 time 10 minut surprise best class apply i
143,4,Have recently moved over from Android to IOS. Felt very happy about it.READ MORE,recent move android io felt happi,recent move android io felt happy
144,5,Awesome productREAD MORE,awesom product,awesome product
145,4,SuperREAD MORE,super,super
146,1,Heating issuesREAD MORE,heat issu,heat issue
147,5,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥READ MORE",great phone great capabl 🔥excel camera 📸processor 13pro new blue colour awesom ❤️i 14pro 13pro 12 12mini also new one iphon 14 one thing common lag till date one thing alway said is🔥🔥,great phone great capable excel camera processor pro new blue colour awesome i pro pro 12 mini also new one siphon 14 one thing common lag till date one thing alway said is
148,5,Lovely phone.. camera is very good 👍Awesome product.....READ MORE,love phone camera good 👍awesom product,love phone camera good awesome product
149,5,Awesome 😎READ MORE,awesom 😎,awesome i
150,5,The product was as expectedREAD MORE,product expect,product expect
151,4,GoodREAD MORE,good,good
152,5,Premium ProductREAD MORE,premium product,premium product
153,2,My charger cable is not workingREAD MORE,charger cabl work,charger call work
154,1,The display got damaged with green lines only after using it for ten to twelve days 😭😭READ MORE,display got damag green line use ten twelv day 😭😭,display got damage green line use ten twelve day i
155,5,NiceREAD MORE,nice,nice
156,5,Excellent 👌READ MORE,excel 👌,excel i
157,5,Amazing.loved this colour.READ MORE,amazinglov colour,amazingly colour
158,5,The colour is fantastic ☺️ and performing very well value for moneyREAD MORE,colour fantast ☺️ perform well valu money,colour fantasy i perform well value money
159,5,The battery life is best on iPhoneREAD MORE,batteri life best iphon,battery life best siphon
160,5,Great phone and great delivery by flipkartREAD MORE,great phone great deliveri flipkart,great phone great deliver flippant
161,5,🤷 what are u expecting me to say? You already know Iphone is IphoneREAD MORE,🤷 u expect say alreadi know iphon iphon,i u expect say already know siphon siphon
162,5,Switched from Xiaomi 12 Pro that was a heater means heats lot much it is very cool device I also used iPhone 13 but it has little bit more better that iPhone 13 best deviceREAD MORE,switch xiaomi 12 pro heater mean heat lot much cool devic also use iphon 13 littl bit better iphon 13 best devic,switch xiaoyi 12 pro heater mean heat lot much cool devil also use siphon 13 little bit better siphon 13 best devil
